group,kind,metric,bridge,bridge_forward,direct_cable,forward_vs_bridge,direct_vs_bridge,direct_vs_forward
Growatt RS485 JKBMS,RS485/UART,Complete exchanges/s,2.500,2.500,2.000,+0.000 (+0.0%),-0.500 (-20.0%),-0.500 (-20.0%)
Growatt RS485 JKBMS,RS485/UART,Req->Rsp avg (us),4759.997,5008.099,5126.758,+248.102 (+5.2%),+366.761 (+7.7%),+118.659 (+2.4%)
Growatt RS485 JKBMS,RS485/UART,Req->Rsp P95 (us),5294.317,5293.782,5438.647,-0.535 (-0.0%),+144.330 (+2.7%),+144.865 (+2.7%)
Growatt RS485 JKBMS,RS485/UART,Full exchange avg (us),49094.793,48926.211,59337.414,-168.582 (-0.3%),+10242.621 (+20.9%),+10411.203 (+21.3%)
Growatt RS485 JKBMS,RS485/UART,Full exchange P95 (us),53520.070,53484.774,75000.908,-35.296 (-0.1%),+21480.838 (+40.1%),+21516.134 (+40.2%)
Anenji Pylon RS485 JKBMS,RS485/UART,Complete exchanges/s,0.800,0.800,0.800,-0.000 (-0.0%),-0.000 (-0.0%),+0.000 (+0.0%)
Anenji Pylon RS485 JKBMS,RS485/UART,Req->Rsp avg (us),9706.670,5488.619,5124.941,-4218.051 (-43.5%),-4581.729 (-47.2%),-363.678 (-6.6%)
Anenji Pylon RS485 JKBMS,RS485/UART,Req->Rsp P95 (us),9912.793,6190.079,5692.958,-3722.714 (-37.6%),-4219.835 (-42.6%),-497.121 (-8.0%)
Anenji Pylon RS485 JKBMS,RS485/UART,Full exchange avg (us),111164.319,106950.364,102917.894,-4213.955 (-3.8%),-8246.425 (-7.4%),-4032.470 (-3.8%)
Anenji Pylon RS485 JKBMS,RS485/UART,Full exchange P95 (us),153034.215,149320.428,145154.533,-3713.787 (-2.4%),-7879.682 (-5.1%),-4165.895 (-2.8%)
Growatt CAN JKBMS,CAN,Frames/s,51.900,52.000,52.000,+0.100 (+0.2%),+0.100 (+0.2%),+0.000 (+0.0%)
Growatt CAN JKBMS,CAN,Cycles/s,0.100,0.100,0.200,+0.000 (+0.0%),+0.100 (+100.0%),+0.100 (+100.0%)
Growatt CAN JKBMS,CAN,Cycle min (us),9980699.265,9980680.500,4980232.085,-18.765 (-0.0%),-5000467.180 (-50.1%),-5000448.415 (-50.1%)
Growatt CAN JKBMS,CAN,Cycle avg (us),9980699.265,9980680.500,4980232.085,-18.765 (-0.0%),-5000467.180 (-50.1%),-5000448.415 (-50.1%)
Growatt CAN JKBMS,CAN,Cycle max (us),9980699.265,9980680.500,4980232.085,-18.765 (-0.0%),-5000467.180 (-50.1%),-5000448.415 (-50.1%)
Growatt CAN JKBMS,CAN,Cycle P95 (us),9980699.265,9980680.500,4980232.085,-18.765 (-0.0%),-5000467.180 (-50.1%),-5000448.415 (-50.1%)
Growatt CAN SeplosBMS,CAN,Frames/s,13.000,12.900,13.000,-0.100 (-0.8%),+0.000 (+0.0%),+0.100 (+0.8%)
Growatt CAN SeplosBMS,CAN,Cycles/s,1.000,1.100,1.200,+0.100 (+10.0%),+0.200 (+20.0%),+0.100 (+9.1%)
Growatt CAN SeplosBMS,CAN,Cycle min (us),251234.865,85691.125,129932.965,-165543.740 (-65.9%),-121301.900 (-48.3%),+44241.840 (+51.6%)
Growatt CAN SeplosBMS,CAN,Cycle avg (us),851373.724,755942.000,687125.942,-95431.724 (-11.2%),-164247.782 (-19.3%),-68816.058 (-9.1%)
Growatt CAN SeplosBMS,CAN,Cycle max (us),1496223.985,871814.905,831769.225,-624409.080 (-41.7%),-664454.760 (-44.4%),-40045.680 (-4.6%)
Growatt CAN SeplosBMS,CAN,Cycle P95 (us),1221318.481,861952.157,831768.787,-359366.324 (-29.4%),-389549.694 (-31.9%),-30183.370 (-3.5%)
Growatt CAN SeplosBMS,CAN,Inter-cycle gap min (us),114668.755,128174.720,168225.685,+13505.965 (+11.8%),+53556.930 (+46.7%),+40050.965 (+31.2%)
Growatt CAN SeplosBMS,CAN,Inter-cycle gap avg (us),155493.468,160226.810,168228.483,+4733.342 (+3.0%),+12735.015 (+8.2%),+8001.673 (+5.0%)
Growatt CAN SeplosBMS,CAN,Inter-cycle gap max (us),165777.835,165777.835,168229.680,+0.000 (+0.0%),+2451.845 (+1.5%),+2451.845 (+1.5%)
Growatt CAN SeplosBMS,CAN,Inter-cycle gap P95 (us),165776.235,165777.835,168229.680,+1.600 (+0.0%),+2453.445 (+1.5%),+2451.845 (+1.5%)
